,player,team,week,opp,loc,res,rush_attempts,rush_yards,yards_per_rush,rush_TD,targets,receptions,rec_yards,yards_per_rec,rec_TD,fantasy_points
43,Giovani_Bernard,CIN,3.0,DEN,home,L 17-29,5.0,8.0,1.6,0.0,5.0,5.0,36.0,7.2,0.0,6.9
44,Giovani_Bernard,CIN,4.0,MIA,home,W 22-7,10.0,18.0,1.8,0.0,4.0,3.0,24.0,8.0,0.0,5.7
45,Giovani_Bernard,CIN,5.0,DAL,away,L 14-28,9.0,50.0,5.6,0.0,6.0,6.0,46.0,7.7,0.0,12.6
46,Giovani_Bernard,CIN,6.0,NE,away,L 17-35,15.0,49.0,3.3,0.0,5.0,4.0,45.0,11.3,0.0,11.4
47,Giovani_Bernard,CIN,7.0,CLE,home,W 31-17,17.0,80.0,4.7,1.0,2.0,1.0,7.0,7.0,0.0,15.2
49,LeGarrette_Blount,NE,1.0,ARI,away,W 23-21,22.0,70.0,3.2,1.0,0.0,0.0,0.0,,0.0,11.0
50,LeGarrette_Blount,NE,2.0,MIA,home,W 31-24,29.0,123.0,4.2,1.0,0.0,0.0,0.0,,0.0,18.3
51,LeGarrette_Blount,NE,3.0,HOU,home,W 27-0,24.0,105.0,4.4,2.0,0.0,0.0,0.0,,0.0,22.5
52,LeGarrette_Blount,NE,4.0,BUF,home,L 0-16,13.0,54.0,4.2,0.0,3.0,3.0,4.0,1.3,0.0,7.3
53,LeGarrette_Blount,NE,5.0,CLE,away,W 33-13,18.0,37.0,2.1,1.0,0.0,0.0,0.0,,0.0,9.7
54,LeGarrette_Blount,NE,6.0,CIN,home,W 35-17,13.0,50.0,3.8,1.0,2.0,2.0,20.0,10.0,0.0,14.0
55,LeGarrette_Blount,NE,7.0,PIT,away,W 27-16,24.0,127.0,5.3,2.0,1.0,1.0,7.0,7.0,0.0,25.9
57,Alfred_Blue,HOU,1.0,CHI,home,W 23-14,1.0,4.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.4
58,Alfred_Blue,HOU,2.0,KC,home,W 19-12,5.0,11.0,2.2,0.0,0.0,0.0,0.0,,0.0,1.1
59,Alfred_Blue,HOU,3.0,NE,away,L 0-27,2.0,12.0,6.0,0.0,0.0,0.0,0.0,,0.0,1.2
60,Alfred_Blue,HOU,4.0,TEN,home,W 27-20,3.0,19.0,6.3,0.0,1.0,1.0,4.0,4.0,0.0,2.8
61,Alfred_Blue,HOU,5.0,MIN,away,L 13-31,6.0,39.0,6.5,0.0,0.0,0.0,0.0,,0.0,3.9
62,Alfred_Blue,HOU,6.0,IND,home,W 26-23,2.0,13.0,6.5,0.0,0.0,0.0,0.0,,0.0,1.3
63,Alfred_Blue,HOU,7.0,DEN,away,L 9-27,11.0,63.0,5.7,0.0,3.0,0.0,0.0,,0.0,4.3
65,Brandon_Bolden,NE,1.0,ARI,away,W 23-21,1.0,4.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.4
66,Brandon_Bolden,NE,4.0,BUF,home,L 0-16,0.0,0.0,,0.0,3.0,2.0,15.0,7.5,0.0,2.5
67,Brandon_Bolden,NE,7.0,PIT,away,W 27-16,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,0.0
69,Devontae_Booker,DEN,1.0,CAR,home,W 21-20,3.0,8.0,2.7,0.0,0.0,0.0,0.0,,0.0,0.8
70,Devontae_Booker,DEN,2.0,IND,home,W 34-20,9.0,46.0,5.1,0.0,1.0,1.0,5.0,5.0,0.0,5.6
71,Devontae_Booker,DEN,3.0,CIN,away,W 29-17,4.0,8.0,2.0,0.0,1.0,1.0,17.0,17.0,0.0,3.0
72,Devontae_Booker,DEN,4.0,TB,away,W 27-7,7.0,30.0,4.3,0.0,1.0,0.0,0.0,,0.0,3.0
73,Devontae_Booker,DEN,5.0,ATL,home,L 16-23,6.0,23.0,3.8,0.0,6.0,4.0,36.0,9.0,0.0,7.9
74,Devontae_Booker,DEN,6.0,SD,away,L 13-21,5.0,46.0,9.2,0.0,2.0,2.0,7.0,3.5,0.0,6.3
75,Devontae_Booker,DEN,7.0,HOU,home,W 27-9,17.0,83.0,4.9,1.0,2.0,1.0,4.0,4.0,0.0,15.2
76,Malcolm_Brown,LAR,1.0,SF,away,L 0-28,1.0,5.0,5.0,0.0,1.0,1.0,8.0,8.0,0.0,1.8
77,Malcolm_Brown,LAR,5.0,BUF,home,L 19-30,2.0,2.0,1.0,0.0,1.0,1.0,26.0,26.0,0.0,3.3
78,Rex_Burkhead,CIN,6.0,NE,away,L 17-35,2.0,16.0,8.0,0.0,0.0,0.0,0.0,,0.0,1.6
